,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
1,,1890.0,6062.0,1945.0,781.0,2149.0,1125.0,2821.0,1370.0,1754.0,501.0,0.0,461.0,232.0,2871.0,567.0,495.0,1449.0,1414.0,263.0,440.0,628.0,62.0,77.0,299.0,0.0,3592.0,2411.0,0.0,0.0,4444.0,2540.0,1049.0,1278.0,2180.0,1148.0,2871.0,1502.0,1782.0,1865.0,2473.0,2258.0,2344.0,3209.0,0.0,1170.0,3480.0,1283.0,1710.0,1208.0,2064.0,668.0,378.0,672.0,349.0,199.0,248.0,462.0,1112.0,586.0,1142.0,5687.0,1617.0,1390.0,892.0,0.0,4174.0,0.0,0.0,277.0,0.0,1364.0,1215.0,321.0,1489.0,428.0,2661.0,343.0,727.0,40.0,710.0,623.0,0.0,1619.0,1306.0,598.0,266.0,609.0,57.0,378.0
2,1890.0,,884.0,318.0,15.0,306.0,71.0,311.0,86.0,326.0,75.0,0.0,91.0,55.0,229.0,43.0,39.0,98.0,60.0,7.0,42.0,14.0,1.0,1.0,0.0,0.0,469.0,222.0,0.0,0.0,478.0,59.0,77.0,26.0,1.0,0.0,29.0,50.0,16.0,11.0,174.0,30.0,8.0,111.0,0.0,8.0,74.0,13.0,18.0,10.0,37.0,43.0,11.0,7.0,16.0,4.0,9.0,5.0,10.0,10.0,5.0,161.0,24.0,99.0,11.0,0.0,93.0,0.0,0.0,2.0,0.0,31.0,21.0,9.0,8.0,10.0,134.0,5.0,8.0,1.0,8.0,12.0,0.0,47.0,56.0,11.0,4.0,17.0,0.0,4.0
3,6062.0,884.0,,956.0,272.0,1508.0,298.0,2588.0,177.0,1782.0,536.0,0.0,546.0,325.0,566.0,129.0,117.0,324.0,264.0,61.0,96.0,81.0,7.0,33.0,32.0,0.0,736.0,566.0,0.0,0.0,1107.0,221.0,228.0,197.0,50.0,27.0,218.0,183.0,95.0,101.0,433.0,85.0,128.0,168.0,0.0,37.0,179.0,51.0,42.0,42.0,72.0,54.0,22.0,41.0,27.0,11.0,16.0,37.0,48.0,44.0,29.0,389.0,31.0,228.0,15.0,0.0,222.0,0.0,0.0,17.0,0.0,48.0,38.0,13.0,9.0,14.0,344.0,6.0,9.0,0.0,6.0,26.0,0.0,67.0,317.0,25.0,7.0,58.0,1.0,6.0
4,1945.0,318.0,956.0,,10.0,219.0,17.0,454.0,15.0,219.0,27.0,0.0,60.0,17.0,87.0,16.0,25.0,81.0,16.0,8.0,64.0,27.0,0.0,0.0,0.0,0.0,248.0,128.0,0.0,0.0,319.0,56.0,46.0,4.0,2.0,1.0,8.0,7.0,1.0,0.0,22.0,5.0,3.0,40.0,0.0,3.0,28.0,6.0,2.0,3.0,13.0,30.0,8.0,1.0,10.0,1.0,3.0,1.0,4.0,1.0,2.0,119.0,3.0,74.0,1.0,0.0,38.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,2.0,1.0,59.0,1.0,0.0,0.0,0.0,4.0,0.0,14.0,36.0,2.0,1.0,11.0,0.0,0.0
5,781.0,15.0,272.0,10.0,,52.0,3.0,467.0,63.0,17.0,5.0,0.0,5.0,0.0,20.0,13.0,3.0,5.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,46.0,6.0,0.0,0.0,63.0,38.0,54.0,2.0,2.0,0.0,1.0,10.0,2.0,2.0,0.0,3.0,2.0,7.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,34.0,0.0,5.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,2.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,8.0,0.0,0.0,2.0,1.0,0.0
6,2149.0,306.0,1508.0,219.0,52.0,,65.0,655.0,40.0,614.0,58.0,0.0,79.0,22.0,153.0,33.0,2.0,36.0,53.0,9.0,19.0,11.0,3.0,3.0,6.0,0.0,348.0,129.0,0.0,0.0,479.0,83.0,68.0,2.0,6.0,0.0,9.0,22.0,1.0,3.0,37.0,7.0,7.0,27.0,0.0,1.0,14.0,0.0,0.0,1.0,3.0,7.0,5.0,5.0,6.0,0.0,2.0,3.0,2.0,7.0,2.0,58.0,1.0,56.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,55.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,119.0,1.0,0.0,6.0,0.0,0.0
7,1125.0,71.0,298.0,17.0,3.0,65.0,,124.0,44.0,287.0,8.0,0.0,28.0,4.0,161.0,14.0,2.0,11.0,23.0,4.0,5.0,9.0,0.0,1.0,0.0,0.0,179.0,28.0,0.0,0.0,251.0,50.0,107.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,5.0,1.0,0.0,18.0,0.0,5.0,10.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,16.0,38.0,3.0,22.0,2.0,0.0,13.0,0.0,0.0,1.0,0.0,9.0,5.0,0.0,0.0,2.0,44.0,0.0,2.0,0.0,1.0,1.0,0.0,12.0,58.0,2.0,0.0,5.0,0.0,0.0
8,2821.0,311.0,2588.0,454.0,467.0,655.0,124.0,,108.0,744.0,193.0,0.0,210.0,86.0,155.0,61.0,10.0,161.0,155.0,51.0,72.0,40.0,6.0,16.0,17.0,0.0,300.0,198.0,0.0,0.0,458.0,91.0,108.0,62.0,24.0,17.0,50.0,69.0,25.0,22.0,105.0,31.0,21.0,76.0,0.0,7.0,42.0,6.0,4.0,14.0,26.0,32.0,17.0,5.0,17.0,5.0,7.0,7.0,6.0,10.0,11.0,155.0,11.0,84.0,4.0,0.0,61.0,0.0,0.0,8.0,0.0,13.0,8.0,1.0,2.0,3.0,117.0,1.0,1.0,0.0,1.0,8.0,0.0,17.0,84.0,7.0,4.0,11.0,0.0,0.0
9,1370.0,86.0,177.0,15.0,63.0,40.0,44.0,108.0,,9.0,4.0,0.0,3.0,2.0,124.0,166.0,3.0,96.0,30.0,8.0,35.0,11.0,2.0,0.0,4.0,0.0,79.0,185.0,0.0,0.0,90.0,13.0,19.0,26.0,15.0,3.0,13.0,99.0,5.0,1.0,17.0,123.0,0.0,50.0,0.0,11.0,35.0,9.0,18.0,10.0,23.0,17.0,16.0,7.0,8.0,0.0,3.0,4.0,2.0,1.0,5.0,133.0,8.0,30.0,5.0,0.0,48.0,0.0,0.0,3.0,0.0,10.0,3.0,1.0,4.0,2.0,23.0,0.0,2.0,0.0,3.0,1.0,0.0,8.0,42.0,10.0,0.0,9.0,0.0,2.0
10,1754.0,326.0,1782.0,219.0,17.0,614.0,287.0,744.0,9.0,,179.0,0.0,115.0,65.0,138.0,37.0,1.0,41.0,53.0,2.0,6.0,7.0,0.0,0.0,0.0,0.0,339.0,169.0,0.0,0.0,506.0,58.0,46.0,1.0,5.0,5.0,5.0,6.0,1.0,3.0,52.0,5.0,5.0,23.0,0.0,0.0,21.0,0.0,0.0,3.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,6.0,4.0,6.0,1.0,33.0,0.0,69.0,1.0,0.0,14.0,0.0,0.0,1.0,0.0,18.0,5.0,1.0,2.0,2.0,81.0,1.0,2.0,0.0,0.0,1.0,0.0,9.0,141.0,3.0,1.0,4.0,0.0,0.0
